bopomofo,bopomofo_non_accent,pinyin,pinyin_non_accent
ㄚ,ㄚ,a,a
ㄚˊ,ㄚ,a2,a
ㄚˋ,ㄚ,a4,a
˙ㄚ,ㄚ,a5,a
ㄞ,ㄞ,ai,ai
ㄞˊ,ㄞ,ai2,ai
ㄞˇ,ㄞ,ai3,ai
ㄞˋ,ㄞ,ai4,ai
ㄢ,ㄢ,an,an
ㄢˊ,ㄢ,an2,an
ㄢˇ,ㄢ,an3,an
ㄢˋ,ㄢ,an4,an
ㄤ,ㄤ,ang,ang
ㄤˊ,ㄤ,ang2,ang
ㄤˇ,ㄤ,ang3,ang
ㄤˋ,ㄤ,ang4,ang
ㄠ,ㄠ,ao,ao
ㄠˊ,ㄠ,ao2,ao
ㄠˇ,ㄠ,ao3,ao
ㄠˋ,ㄠ,ao4,ao
ㄅㄚ,ㄅㄚ,ba,ba
ㄅㄚˊ,ㄅㄚ,ba2,ba
ㄅㄚˇ,ㄅㄚ,ba3,ba
ㄅㄚˋ,ㄅㄚ,ba4,ba
˙ㄅㄚ,ㄅㄚ,ba5,ba
ㄅㄞ,ㄅㄞ,bai,bai
ㄅㄞˊ,ㄅㄞ,bai2,bai
ㄅㄞˇ,ㄅㄞ,bai3,bai
ㄅㄞˋ,ㄅㄞ,bai4,bai
˙ㄅㄞ,ㄅㄞ,bai5,bai
ㄅㄢ,ㄅㄢ,ban,ban
ㄅㄢˇ,ㄅㄢ,ban3,ban
ㄅㄢˋ,ㄅㄢ,ban4,ban
ㄅㄤ,ㄅㄤ,bang,bang
ㄅㄤˇ,ㄅㄤ,bang3,bang
ㄅㄤˋ,ㄅㄤ,bang4,bang
ㄅㄠ,ㄅㄠ,bao,bao
ㄅㄠˊ,ㄅㄠ,bao2,bao
ㄅㄠˇ,ㄅㄠ,bao3,bao
ㄅㄠˋ,ㄅㄠ,bao4,bao
ㄅㄟ,ㄅㄟ,bei,bei
ㄅㄟˇ,ㄅㄟ,bei3,bei
ㄅㄟˋ,ㄅㄟ,bei4,bei
˙ㄅㄟ,ㄅㄟ,bei5,bei
ㄅㄣ,ㄅㄣ,ben,ben
ㄅㄣˇ,ㄅㄣ,ben3,ben
ㄅㄣˋ,ㄅㄣ,ben4,ben
ㄅㄥ,ㄅㄥ,beng,beng
ㄅㄥˊ,ㄅㄥ,beng2,beng
ㄅㄥˇ,ㄅㄥ,beng3,beng
ㄅㄥˋ,ㄅㄥ,beng4,beng
ㄅㄧ,ㄅㄧ,bi,bi
ㄅㄧˊ,ㄅㄧ,bi2,bi
ㄅㄧˇ,ㄅㄧ,bi3,bi
ㄅㄧˋ,ㄅㄧ,bi4,bi
ㄅㄧㄢ,ㄅㄧㄢ,bian,bian
ㄅㄧㄢˊ,ㄅㄧㄢ,bian2,bian
ㄅㄧㄢˇ,ㄅㄧㄢ,bian3,bian
ㄅㄧㄢˋ,ㄅㄧㄢ,bian4,bian
ㄅㄧㄠ,ㄅㄧㄠ,biao,biao
ㄅㄧㄠˇ,ㄅㄧㄠ,biao3,biao
ㄅㄧㄠˋ,ㄅㄧㄠ,biao4,biao
ㄅㄧㄝ,ㄅㄧㄝ,bie,bie
ㄅㄧㄝˊ,ㄅㄧㄝ,bie2,bie
ㄅㄧㄝˇ,ㄅㄧㄝ,bie3,bie
ㄅㄧㄝˋ,ㄅㄧㄝ,bie4,bie
ㄅㄧㄣ,ㄅㄧㄣ,bin,bin
ㄅㄧㄣˇ,ㄅㄧㄣ,bin3,bin
ㄅㄧㄣˋ,ㄅㄧㄣ,bin4,bin
ㄅㄧㄥ,ㄅㄧㄥ,bing,bing
ㄅㄧㄥˇ,ㄅㄧㄥ,bing3,bing
ㄅㄧㄥˋ,ㄅㄧㄥ,bing4,bing
ㄅㄛ,ㄅㄛ,bo,bo
ㄅㄛˊ,ㄅㄛ,bo2,bo
ㄅㄛˇ,ㄅㄛ,bo3,bo
ㄅㄛˋ,ㄅㄛ,bo4,bo
˙ㄅㄛ,ㄅㄛ,bo5,bo
ㄅㄨ,ㄅㄨ,bu,bu
ㄅㄨˊ,ㄅㄨ,bu2,bu
ㄅㄨˇ,ㄅㄨ,bu3,bu
ㄅㄨˋ,ㄅㄨ,bu4,bu
ㄘㄚ,ㄘㄚ,ca,ca
ㄘㄚˇ,ㄘㄚ,ca3,ca
ㄘㄚˋ,ㄘㄚ,ca4,ca
ㄘㄞ,ㄘㄞ,cai,cai
ㄘㄞˊ,ㄘㄞ,cai2,cai
ㄘㄞˇ,ㄘㄞ,cai3,cai
ㄘㄞˋ,ㄘㄞ,cai4,cai
ㄘㄢ,ㄘㄢ,can,can
ㄘㄢˊ,ㄘㄢ,can2,can
ㄘㄢˇ,ㄘㄢ,can3,can
ㄘㄢˋ,ㄘㄢ,can4,can
ㄘㄤ,ㄘㄤ,cang,cang
ㄘㄤˊ,ㄘㄤ,cang2,cang
ㄘㄤˇ,ㄘㄤ,cang3,cang
ㄘㄤˋ,ㄘㄤ,cang4,cang
ㄘㄠ,ㄘㄠ,cao,cao
ㄘㄠˊ,ㄘㄠ,cao2,cao
ㄘㄠˇ,ㄘㄠ,cao3,cao
ㄘㄠˋ,ㄘㄠ,cao4,cao
ㄘㄜˋ,ㄘㄜ,ce4,ce
ㄘㄣ,ㄘㄣ,cen,cen
ㄘㄣˊ,ㄘㄣ,cen2,cen
ㄘㄥ,ㄘㄥ,ceng,ceng
ㄘㄥˊ,ㄘㄥ,ceng2,ceng
ㄘㄥˇ,ㄘㄥ,ceng3,ceng
ㄘㄥˋ,ㄘㄥ,ceng4,ceng
ㄔㄚ,ㄔㄚ,cha,cha
ㄔㄚˊ,ㄔㄚ,cha2,cha
ㄔㄚˇ,ㄔㄚ,cha3,cha
ㄔㄚˋ,ㄔㄚ,cha4,cha
ㄔㄞ,ㄔㄞ,chai,chai
ㄔㄞˊ,ㄔㄞ,chai2,chai
ㄔㄞˇ,ㄔㄞ,chai3,chai
ㄔㄞˋ,ㄔㄞ,chai4,chai
ㄔㄢ,ㄔㄢ,chan,chan
ㄔㄢˊ,ㄔㄢ,chan2,chan
ㄔㄢˇ,ㄔㄢ,chan3,chan
ㄔㄢˋ,ㄔㄢ,chan4,chan
ㄔㄤ,ㄔㄤ,chang,chang
ㄔㄤˊ,ㄔㄤ,chang2,chang
ㄔㄤˇ,ㄔㄤ,chang3,chang
ㄔㄤˋ,ㄔㄤ,chang4,chang
ㄔㄠ,ㄔㄠ,chao,chao
ㄔㄠˊ,ㄔㄠ,chao2,chao
ㄔㄠˇ,ㄔㄠ,chao3,chao
ㄔㄠˋ,ㄔㄠ,chao4,chao
ㄔㄜ,ㄔㄜ,che,che
ㄔㄜˇ,ㄔㄜ,che3,che
ㄔㄜˋ,ㄔㄜ,che4,che
ㄔㄣ,ㄔㄣ,chen,chen
ㄔㄣˊ,ㄔㄣ,chen2,chen
ㄔㄣˇ,ㄔㄣ,chen3,chen
ㄔㄣˋ,ㄔㄣ,chen4,chen
˙ㄔㄣ,ㄔㄣ,chen5,chen
ㄔㄥ,ㄔㄥ,cheng,cheng
ㄔㄥˊ,ㄔㄥ,cheng2,cheng
ㄔㄥˇ,ㄔㄥ,cheng3,cheng
ㄔㄥˋ,ㄔㄥ,cheng4,cheng
ㄔ,ㄔ,chi,chi
ㄔˊ,ㄔ,chi2,chi
ㄔˇ,ㄔ,chi3,chi
ㄔˋ,ㄔ,chi4,chi
ㄔㄨㄥ,ㄔㄨㄥ,chong,chong
ㄔㄨㄥˊ,ㄔㄨㄥ,chong2,chong
ㄔㄨㄥˇ,ㄔㄨㄥ,chong3,chong
ㄔㄨㄥˋ,ㄔㄨㄥ,chong4,chong
ㄔㄡ,ㄔㄡ,chou,chou
ㄔㄡˊ,ㄔㄡ,chou2,chou
ㄔㄡˇ,ㄔㄡ,chou3,chou
ㄔㄡˋ,ㄔㄡ,chou4,chou
ㄔㄨ,ㄔㄨ,chu,chu
ㄔㄨˊ,ㄔㄨ,chu2,chu
ㄔㄨˇ,ㄔㄨ,chu3,chu
ㄔㄨˋ,ㄔㄨ,chu4,chu
ㄔㄨㄚ,ㄔㄨㄚ,chua,chua
ㄔㄨㄚˇ,ㄔㄨㄚ,chua3,chua
ㄔㄨㄚˋ,ㄔㄨㄚ,chua4,chua
ㄔㄨㄞ,ㄔㄨㄞ,chuai,chuai
ㄔㄨㄞˊ,ㄔㄨㄞ,chuai2,chuai
ㄔㄨㄞˇ,ㄔㄨㄞ,chuai3,chuai
ㄔㄨㄞˋ,ㄔㄨㄞ,chuai4,chuai
ㄔㄨㄢ,ㄔㄨㄢ,chuan,chuan
ㄔㄨㄢˊ,ㄔㄨㄢ,chuan2,chuan
ㄔㄨㄢˇ,ㄔㄨㄢ,chuan3,chuan
ㄔㄨㄢˋ,ㄔㄨㄢ,chuan4,chuan
ㄔㄨㄤ,ㄔㄨㄤ,chuang,chuang
ㄔㄨㄤˊ,ㄔㄨㄤ,chuang2,chuang
ㄔㄨㄤˇ,ㄔㄨㄤ,chuang3,chuang
ㄔㄨㄤˋ,ㄔㄨㄤ,chuang4,chuang
ㄔㄨㄟ,ㄔㄨㄟ,chui,chui
ㄔㄨㄟˊ,ㄔㄨㄟ,chui2,chui
ㄔㄨㄟˇ,ㄔㄨㄟ,chui3,chui
ㄔㄨㄟˋ,ㄔㄨㄟ,chui4,chui
ㄔㄨㄣ,ㄔㄨㄣ,chun,chun
ㄔㄨㄣˊ,ㄔㄨㄣ,chun2,chun
ㄔㄨㄣˇ,ㄔㄨㄣ,chun3,chun
ㄔㄨㄛ,ㄔㄨㄛ,chuo,chuo
ㄔㄨㄛˋ,ㄔㄨㄛ,chuo4,chuo
ㄘ,ㄘ,ci,ci
ㄘˊ,ㄘ,ci2,ci
ㄘˇ,ㄘ,ci3,ci
ㄘˋ,ㄘ,ci4,ci
ㄘㄨㄥ,ㄘㄨㄥ,cong,cong
ㄘㄨㄥˊ,ㄘㄨㄥ,cong2,cong
ㄘㄨㄥˇ,ㄘㄨㄥ,cong3,cong
ㄘㄨㄥˋ,ㄘㄨㄥ,cong4,cong
ㄘㄡ,ㄘㄡ,cou,cou
ㄘㄡˊ,ㄘㄡ,cou2,cou
ㄘㄡˇ,ㄘㄡ,cou3,cou
ㄘㄡˋ,ㄘㄡ,cou4,cou
ㄘㄨ,ㄘㄨ,cu,cu
ㄘㄨˊ,ㄘㄨ,cu2,cu
ㄘㄨˇ,ㄘㄨ,cu3,cu
ㄘㄨˋ,ㄘㄨ,cu4,cu
ㄘㄨㄢ,ㄘㄨㄢ,cuan,cuan
ㄘㄨㄢˊ,ㄘㄨㄢ,cuan2,cuan
ㄘㄨㄢˇ,ㄘㄨㄢ,cuan3,cuan
ㄘㄨㄢˋ,ㄘㄨㄢ,cuan4,cuan
ㄘㄨㄟ,ㄘㄨㄟ,cui,cui
ㄘㄨㄟˇ,ㄘㄨㄟ,cui3,cui
ㄘㄨㄟˋ,ㄘㄨㄟ,cui4,cui
ㄘㄨㄣ,ㄘㄨㄣ,cun,cun
ㄘㄨㄣˊ,ㄘㄨㄣ,cun2,cun
ㄘㄨㄣˇ,ㄘㄨㄣ,cun3,cun
ㄘㄨㄣˋ,ㄘㄨㄣ,cun4,cun
ㄘㄨㄛ,ㄘㄨㄛ,cuo,cuo
ㄘㄨㄛˊ,ㄘㄨㄛ,cuo2,cuo
ㄘㄨㄛˇ,ㄘㄨㄛ,cuo3,cuo
ㄘㄨㄛˋ,ㄘㄨㄛ,cuo4,cuo
ㄉㄚ,ㄉㄚ,da,da
ㄉㄚˊ,ㄉㄚ,da2,da
ㄉㄚˇ,ㄉㄚ,da3,da
ㄉㄚˋ,ㄉㄚ,da4,da
˙ㄉㄚ,ㄉㄚ,da5,da
ㄉㄞ,ㄉㄞ,dai,dai
ㄉㄞˇ,ㄉㄞ,dai3,dai
ㄉㄞˋ,ㄉㄞ,dai4,dai
ㄉㄢ,ㄉㄢ,dan,dan
ㄉㄢˇ,ㄉㄢ,dan3,dan
ㄉㄢˋ,ㄉㄢ,dan4,dan
ㄉㄤ,ㄉㄤ,dang,dang
ㄉㄤˇ,ㄉㄤ,dang3,dang
ㄉㄤˋ,ㄉㄤ,dang4,dang
ㄉㄠ,ㄉㄠ,dao,dao
ㄉㄠˊ,ㄉㄠ,dao2,dao
ㄉㄠˇ,ㄉㄠ,dao3,dao
ㄉㄠˋ,ㄉㄠ,dao4,dao
ㄉㄜ,ㄉㄜ,de,de
ㄉㄜˊ,ㄉㄜ,de2,de
˙ㄉㄜ,ㄉㄜ,de5,de
ㄉㄟˇ,ㄉㄟ,dei3,dei
ㄉㄣˋ,ㄉㄣ,den4,den
ㄉㄥ,ㄉㄥ,deng,deng
ㄉㄥˇ,ㄉㄥ,deng3,deng
ㄉㄥˋ,ㄉㄥ,deng4,deng
ㄉㄧ,ㄉㄧ,di,di
ㄉㄧˊ,ㄉㄧ,di2,di
ㄉㄧˇ,ㄉㄧ,di3,di
ㄉㄧˋ,ㄉㄧ,di4,di
ㄉㄧㄚˇ,ㄉㄧㄚ,dia3,dia
ㄉㄧㄢ,ㄉㄧㄢ,dian,dian
ㄉㄧㄢˊ,ㄉㄧㄢ,dian2,dian
ㄉㄧㄢˇ,ㄉㄧㄢ,dian3,dian
ㄉㄧㄢˋ,ㄉㄧㄢ,dian4,dian
ㄉㄧㄠ,ㄉㄧㄠ,diao,diao
ㄉㄧㄠˇ,ㄉㄧㄠ,diao3,diao
ㄉㄧㄠˋ,ㄉㄧㄠ,diao4,diao
ㄉㄧㄝ,ㄉㄧㄝ,die,die
ㄉㄧㄝˊ,ㄉㄧㄝ,die2,die
ㄉㄧㄝˇ,ㄉㄧㄝ,die3,die
ㄉㄧㄝˋ,ㄉㄧㄝ,die4,die
ㄉㄧㄥ,ㄉㄧㄥ,ding,ding
ㄉㄧㄥˊ,ㄉㄧㄥ,ding2,ding
ㄉㄧㄥˇ,ㄉㄧㄥ,ding3,ding
ㄉㄧㄥˋ,ㄉㄧㄥ,ding4,ding
ㄉㄧㄡ,ㄉㄧㄡ,diu,diu
ㄉㄨㄥ,ㄉㄨㄥ,dong,dong
ㄉㄨㄥˇ,ㄉㄨㄥ,dong3,dong
ㄉㄨㄥˋ,ㄉㄨㄥ,dong4,dong
ㄉㄡ,ㄉㄡ,dou,dou
ㄉㄡˊ,ㄉㄡ,dou2,dou
ㄉㄡˇ,ㄉㄡ,dou3,dou
ㄉㄡˋ,ㄉㄡ,dou4,dou
ㄉㄨ,ㄉㄨ,du,du
ㄉㄨˊ,ㄉㄨ,du2,du
ㄉㄨˇ,ㄉㄨ,du3,du
ㄉㄨˋ,ㄉㄨ,du4,du
ㄉㄨㄢ,ㄉㄨㄢ,duan,duan
ㄉㄨㄢˇ,ㄉㄨㄢ,duan3,duan
ㄉㄨㄢˋ,ㄉㄨㄢ,duan4,duan
ㄉㄨㄟ,ㄉㄨㄟ,dui,dui
ㄉㄨㄟˇ,ㄉㄨㄟ,dui3,dui
ㄉㄨㄟˋ,ㄉㄨㄟ,dui4,dui
ㄉㄨㄣ,ㄉㄨㄣ,dun,dun
ㄉㄨㄣˇ,ㄉㄨㄣ,dun3,dun
ㄉㄨㄣˋ,ㄉㄨㄣ,dun4,dun
ㄉㄨㄛ,ㄉㄨㄛ,duo,duo
ㄉㄨㄛˊ,ㄉㄨㄛ,duo2,duo
ㄉㄨㄛˇ,ㄉㄨㄛ,duo3,duo
ㄉㄨㄛˋ,ㄉㄨㄛ,duo4,duo
˙ㄉㄨㄛ,ㄉㄨㄛ,duo5,duo
ㄜ,ㄜ,e,e
ㄜˊ,ㄜ,e2,e
ㄜˇ,ㄜ,e3,e
ㄜˋ,ㄜ,e4,e
ㄝˊ,ㄝ,eh2,eh
ㄝˇ,ㄝ,eh3,eh
ㄝˋ,ㄝ,eh4,eh
˙ㄝ,ㄝ,eh5,eh
ㄟˋ,ㄟ,ei4,ei
ㄣ,ㄣ,en,en
ㄣˊ,ㄣ,en2,en
ㄣˇ,ㄣ,en3,en
ㄣˋ,ㄣ,en4,en
˙ㄣ,ㄣ,en5,en
ㄥ,ㄥ,eng,eng
ㄥˋ,ㄥ,eng4,eng
ㄦ,ㄦ,er,er
ㄦˊ,ㄦ,er2,er
ㄦˇ,ㄦ,er3,er
ㄦˋ,ㄦ,er4,er
˙ㄦ,ㄦ,er5,er
ㄈㄚ,ㄈㄚ,fa,fa
ㄈㄚˊ,ㄈㄚ,fa2,fa
ㄈㄚˇ,ㄈㄚ,fa3,fa
ㄈㄚˋ,ㄈㄚ,fa4,fa
ㄈㄢ,ㄈㄢ,fan,fan
ㄈㄢˊ,ㄈㄢ,fan2,fan
ㄈㄢˇ,ㄈㄢ,fan3,fan
ㄈㄢˋ,ㄈㄢ,fan4,fan
ㄈㄤ,ㄈㄤ,fang,fang
ㄈㄤˊ,ㄈㄤ,fang2,fang
ㄈㄤˇ,ㄈㄤ,fang3,fang
ㄈㄤˋ,ㄈㄤ,fang4,fang
ㄈㄟ,ㄈㄟ,fei,fei
ㄈㄟˊ,ㄈㄟ,fei2,fei
ㄈㄟˇ,ㄈㄟ,fei3,fei
ㄈㄟˋ,ㄈㄟ,fei4,fei
ㄈㄣ,ㄈㄣ,fen,fen
ㄈㄣˊ,ㄈㄣ,fen2,fen
ㄈㄣˇ,ㄈㄣ,fen3,fen
ㄈㄣˋ,ㄈㄣ,fen4,fen
˙ㄈㄣ,ㄈㄣ,fen5,fen
ㄈㄥ,ㄈㄥ,feng,feng
ㄈㄥˊ,ㄈㄥ,feng2,feng
ㄈㄥˇ,ㄈㄥ,feng3,feng
ㄈㄥˋ,ㄈㄥ,feng4,feng
ㄈㄧㄠˋ,ㄈㄧㄠ,fiao4,fiao
ㄈㄛˊ,ㄈㄛ,fo2,fo
ㄈㄡ,ㄈㄡ,fou,fou
ㄈㄡˊ,ㄈㄡ,fou2,fou
ㄈㄡˇ,ㄈㄡ,fou3,fou
ㄈㄡˋ,ㄈㄡ,fou4,fou
ㄈㄨ,ㄈㄨ,fu,fu
ㄈㄨˊ,ㄈㄨ,fu2,fu
ㄈㄨˇ,ㄈㄨ,fu3,fu
ㄈㄨˋ,ㄈㄨ,fu4,fu
ㄍㄚ,ㄍㄚ,ga,ga
ㄍㄚˊ,ㄍㄚ,ga2,ga
ㄍㄚˇ,ㄍㄚ,ga3,ga
ㄍㄚˋ,ㄍㄚ,ga4,ga
˙ㄍㄚ,ㄍㄚ,ga5,ga
ㄍㄞ,ㄍㄞ,gai,gai
ㄍㄞˇ,ㄍㄞ,gai3,gai
ㄍㄞˋ,ㄍㄞ,gai4,gai
ㄍㄢ,ㄍㄢ,gan,gan
ㄍㄢˇ,ㄍㄢ,gan3,gan
ㄍㄢˋ,ㄍㄢ,gan4,gan
ㄍㄤ,ㄍㄤ,gang,gang
ㄍㄤˇ,ㄍㄤ,gang3,gang
ㄍㄤˋ,ㄍㄤ,gang4,gang
ㄍㄠ,ㄍㄠ,gao,gao
ㄍㄠˇ,ㄍㄠ,gao3,gao
ㄍㄠˋ,ㄍㄠ,gao4,gao
ㄍㄜ,ㄍㄜ,ge,ge
ㄍㄜˊ,ㄍㄜ,ge2,ge
ㄍㄜˇ,ㄍㄜ,ge3,ge
ㄍㄜˋ,ㄍㄜ,ge4,ge
˙ㄍㄜ,ㄍㄜ,ge5,ge
ㄍㄟˇ,ㄍㄟ,gei3,gei
ㄍㄣ,ㄍㄣ,gen,gen
ㄍㄣˊ,ㄍㄣ,gen2,gen
ㄍㄣˇ,ㄍㄣ,gen3,gen
ㄍㄣˋ,ㄍㄣ,gen4,gen
ㄍㄥ,ㄍㄥ,geng,geng
ㄍㄥˇ,ㄍㄥ,geng3,geng
ㄍㄥˋ,ㄍㄥ,geng4,geng
ㄍㄨㄥ,ㄍㄨㄥ,gong,gong
ㄍㄨㄥˊ,ㄍㄨㄥ,gong2,gong
ㄍㄨㄥˇ,ㄍㄨㄥ,gong3,gong
ㄍㄨㄥˋ,ㄍㄨㄥ,gong4,gong
ㄍㄡ,ㄍㄡ,gou,gou
ㄍㄡˇ,ㄍㄡ,gou3,gou
ㄍㄡˋ,ㄍㄡ,gou4,gou
ㄍㄨ,ㄍㄨ,gu,gu
ㄍㄨˊ,ㄍㄨ,gu2,gu
